Date,Open,High,Low,Close,Adj Close,Volume
22/06/2016,17832.66992,18011.07031,17063.08008,17409.7207,17409.7207,6.77E+08
29/06/2016,17456.01953,18002.38086,17456.01953,17840.61914,17840.61914,4.25E+08
06/07/2016,17807.4707,18371.94922,17713.44922,18347.66992,18347.66992,4.39E+08
13/07/2016,18356.7793,18562.5293,18315.75977,18559.00977,18559.00977,4.53E+08
20/07/2016,18582.69922,18622.00977,18387.2207,18473.75,18473.75,4.30E+08
27/07/2016,18473.26953,18542.39063,18247.78906,18313.76953,18313.76953,4.82E+08
03/08/2016,18313.08008,18585.32031,18283.23047,18533.05078,18533.05078,3.67E+08
10/08/2016,18541.48047,18722.60938,18468.7793,18552.01953,18552.01953,3.26E+08
17/08/2016,18537.08984,18631.59961,18466.85938,18547.30078,18547.30078,3.82E+08
24/08/2016,18537.5,18572.08984,18335.33984,18454.30078,18454.30078,3.49E+08
31/08/2016,18436.69922,18551.53906,18295.48047,18538.11914,18538.11914,3.31E+08
07/09/2016,18527.71094,18536.89063,17994.83984,18066.75,18066.75,4.73E+08
14/09/2016,18073.39063,18254.88086,17992.21094,18129.96094,18129.96094,6.32E+08
21/09/2016,18164.96094,18449.88086,18052.16016,18228.30078,18228.30078,4.34E+08
28/09/2016,18240.2207,18369.61914,18091.64063,18168.44922,18168.44922,4.77E+08
05/10/2016,18205.5,18399.96094,18061.96094,18128.66016,18128.66016,3.98E+08
12/10/2016,18132.63086,18261.10938,17959.94922,18161.93945,18161.93945,3.93E+08
19/10/2016,18178.21094,18275.03906,18049.76953,18169.26953,18169.26953,4.66E+08
26/10/2016,18103.80078,18257.06055,17940.83984,18037.09961,18037.09961,4.89E+08
02/11/2016,18017.7207,18400.5,17883.56055,18332.74023,18332.74023,4.38E+08
09/11/2016,18317.25977,18934.05078,18252.55078,18923.06055,18923.06055,6.58E+08
16/11/2016,18909.84961,19043.90039,18825.89063,19023.86914,19023.86914,4.53E+08
23/11/2016,19015.51953,19152.14063,19000.38086,19121.59961,19121.59961,2.94E+08
30/11/2016,19135.64063,19274.84961,19123.38086,19251.7793,19251.7793,9.61E+08
07/12/2016,19241.99023,19953.75,19229.83008,19911.21094,19911.21094,1.77E+09
14/12/2016,19876.13086,19987.63086,19748.66992,19974.61914,19974.61914,1.93E+09
21/12/2016,19968.9707,19986.56055,19882.18945,19945.03906,19945.03906,8.32E+08
28/12/2016,19964.31055,19981.10938,19718.66992,19881.75977,19881.75977,9.71E+08
04/01/2017,19890.93945,19999.63086,19811.11914,19855.5293,19855.5293,1.41E+09
11/01/2017,19887.38086,19973.41992,19770.4707,19826.76953,19826.76953,1.25E+09
18/01/2017,19822.73047,19949.24023,19677.93945,19912.71094,19912.71094,1.72E+09
25/01/2017,19994.48047,20125.58008,19784.76953,19864.08984,19864.08984,1.76E+09
01/02/2017,19923.81055,20155.34961,19831.08984,20090.28906,20090.28906,1.68E+09
08/02/2017,20049.28906,20504.41016,20015.33008,20504.41016,20504.41016,1.59E+09
15/02/2017,20504.26953,20757.64063,20496.0293,20743,20743,1.42E+09
22/02/2017,20715.41016,20851.33008,20692.39063,20812.24023,20812.24023,1.50E+09
01/03/2017,20957.28906,21169.10938,20901.25977,20924.75977,20924.75977,1.51E+09
08/03/2017,20940.43945,20951.43945,20777.16016,20837.36914,20837.36914,1.42E+09
15/03/2017,20874.7793,21000.10938,20653.25977,20668.00977,20668.00977,1.73E+09
22/03/2017,20640.41992,20757.89063,20412.80078,20701.5,20701.5,1.47E+09
29/03/2017,20675.75,20753.7793,20517.82031,20689.24023,20689.24023,1.34E+09
05/04/2017,20745.06055,20887.5,20512.56055,20651.30078,20651.30078,1.24E+09
12/04/2017,20637.94922,20644.41016,20453.25,20523.2793,20523.2793,9.96E+08
19/04/2017,20503.51953,21026.9707,20379.55078,20996.11914,20996.11914,1.67E+09
26/04/2017,21009.94922,21070.90039,20898.38086,20949.89063,20949.89063,1.59E+09
03/05/2017,20915,21046.84961,20847.94922,20975.7793,20975.7793,1.40E+09
10/05/2017,20958.49023,21033.5293,20798.90039,20979.75,20979.75,1.48E+09
17/05/2017,20846.16992,20961.14063,20553.44922,20937.91016,20937.91016,1.73E+09
24/05/2017,20949.21094,21112.32031,20933.58008,21029.4707,21029.4707,1.00E+09
31/05/2017,21048.46094,21225.03906,20942.57031,21136.23047,21136.23047,1.53E+09
07/06/2017,21171.57031,21332.76953,21113.31055,21328.4707,21328.4707,1.85E+09
14/06/2017,21342.71094,21535.0293,21261.86914,21467.14063,21467.14063,1.82E+09
21/06/2017,21466.39063,21506.21094,21310.66016,21310.66016,21310.66016,1.47E+09
28/06/2017,21372.35938,21562.75,21197.08008,21479.26953,21479.26953,1.11E+09
05/07/2017,21492.83008,21505.35938,21279.30078,21409.07031,21409.07031,1.35E+09
12/07/2017,21467.92969,21681.5293,21467.92969,21574.73047,21574.73047,1.23E+09
19/07/2017,21569.25,21670.61914,21496.13086,21613.42969,21613.42969,1.52E+09
26/07/2017,21690.38086,21990.96094,21683.28906,21963.91992,21963.91992,1.61E+09
02/08/2017,22004.35938,22179.10938,21967.46094,22085.33984,22085.33984,1.34E+09
09/08/2017,22022.33984,22057.18945,21842.74023,21998.99023,21998.99023,1.32E+09
16/08/2017,22031.92969,22085.71094,21600.33984,21899.89063,21899.89063,1.41E+09
23/08/2017,21850.26953,21906.85938,21673.58008,21865.36914,21865.36914,1.13E+09
30/08/2017,21859.75977,22038.9707,21709.63086,21753.31055,21753.31055,1.21E+09
06/09/2017,21815.75977,22134.57031,21731.11914,22118.85938,22118.85938,1.62E+09
13/09/2017,22103.4707,22386.00977,22095.78906,22370.80078,22370.80078,1.72E+09
20/09/2017,22351.38086,22419.50977,22219.10938,22284.32031,22284.32031,1.54E+09
27/09/2017,22330.92969,22646.32031,22254.92969,22641.66992,22641.66992,1.39E+09
04/10/2017,22645.66992,22850.50977,22632.80078,22830.67969,22830.67969,1.33E+09
11/10/2017,22827.65039,23002.19922,22821.13086,22997.43945,22997.43945,1.39E+09
18/10/2017,23087.13086,23485.25,23052.66992,23441.75977,23441.75977,1.96E+09
25/10/2017,23431.08984,23459.83984,23251.10938,23377.24023,23377.24023,2.11E+09
01/11/2017,23442.90039,23602.11914,23350.98047,23557.23047,23557.23047,1.63E+09
08/11/2017,23542.59961,23575,23271.57031,23409.4707,23409.4707,1.97E+09
15/11/2017,23334.58984,23617.80078,23242.75,23590.83008,23590.83008,1.84E+09
22/11/2017,23597.24023,23849.60938,23507.60938,23836.71094,23836.71094,1.00E+09
29/11/2017,23883.25977,24534.03906,23872.58984,24180.64063,24180.64063,2.10E+09
06/12/2017,24171.90039,24552.9707,24101.24023,24504.80078,24504.80078,1.57E+09
13/12/2017,24525.18945,24876.07031,24508.66016,24754.75,24754.75,1.97E+09
20/12/2017,24838.08984,24852.43945,24697.10938,24746.21094,24746.21094,1.14E+09
27/12/2017,24766.51953,24871.66016,24719.2207,24824.00977,24824.00977,1.04E+09
03/01/2018,24850.44922,25439.7793,24825.55078,25385.80078,25385.80078,1.89E+09
10/01/2018,25348.13086,26086.11914,25256.99023,25792.85938,25792.85938,1.67E+09
17/01/2018,25910.7793,26246.18945,25865.01953,26210.81055,26210.81055,2.47E+09
24/01/2018,26282.07031,26616.71094,26028.41992,26076.89063,26076.89063,2.27E+09
31/01/2018,26268.16992,26338.0293,23778.74023,24912.76953,24912.76953,2.95E+09
07/02/2018,24892.86914,25293.96094,23360.28906,24640.44922,24640.44922,2.77E+09
14/02/2018,24535.82031,25432.41992,24490.35938,24964.75,24964.75,1.68E+09
21/02/2018,24988.06055,25800.34961,24792.99023,25410.0293,25410.0293,2.08E+09
28/02/2018,25485.15039,25576.15039,24217.75977,24884.11914,24884.11914,2.11E+09
07/03/2018,24758.15039,25449.15039,24535.11914,25007.0293,25007.0293,1.90E+09
14/03/2018,25086.9707,25130.11914,24453.14063,24727.26953,24727.26953,2.05E+09
21/03/2018,24723.49023,24977.65039,23509.06055,23857.71094,23857.71094,2.27E+09
28/03/2018,23883.08008,24314.30078,23344.51953,24033.35938,24033.35938,1.90E+09
04/04/2018,23654.15039,24622.25977,23523.16016,24408,24408,1.88E+09
11/04/2018,24274.18945,24858.9707,24150.86914,24786.63086,24786.63086,1.60E+09
18/04/2018,24820.84961,24832.53906,23828.73047,24024.13086,24024.13086,2.04E+09
25/04/2018,24070.19922,24498.23047,23808.18945,24099.05078,24099.05078,2.02E+09
02/05/2018,24097.63086,24479.44922,23531.31055,24360.21094,24360.21094,1.76E+09
09/05/2018,24399.17969,24994.18945,24323.86914,24706.41016,24706.41016,1.52E+09
16/05/2018,24722.32031,25086.49023,24639.40039,24834.41016,24834.41016,1.46E+09
23/05/2018,24757.71094,24889.46094,24247.83984,24361.44922,24361.44922,1.40E+09
30/05/2018,24467.83008,24859.36914,24352.15039,24799.98047,24799.98047,1.72E+09
06/06/2018,24854.14063,25402.83008,24854.14063,25320.73047,25320.73047,1.53E+09
13/06/2018,25328.65039,25362.07031,24567.75,24700.21094,24700.21094,2.04E+09
20/06/2018,24771.16992,24804.75977,24084.39063,24283.10938,24283.10938,1.92E+09
27/06/2018,24303.10938,24569.01953,23997.21094,24174.82031,24174.82031,1.35E+09
04/07/2018,24285.82031,24945.38086,24177.43945,24919.66016,24919.66016,9.33E+08
11/07/2018,24789.48047,25155.39063,24663.82031,25119.89063,25119.89063,1.21E+09
18/07/2018,25133.78906,25286.61914,24983.33008,25241.93945,25241.93945,1.32E+09
25/07/2018,25183.69922,25587.24023,25113.55078,25415.18945,25415.18945,1.55E+09
01/08/2018,25461.63086,25692.7207,25120.07031,25628.91016,25628.91016,1.34E+09
08/08/2018,25615.7207,25634.10938,25153.92969,25299.91992,25299.91992,1.11E+09
15/08/2018,25235.36914,25888.82031,24965.76953,25822.28906,25822.28906,1.41E+09
22/08/2018,25825.06055,26122.24023,25608.01953,26064.01953,26064.01953,1.05E+09
29/08/2018,26082.5293,26167.93945,25805.94922,25952.48047,25952.48047,9.83E+08
05/09/2018,25919.83984,26073.67969,25754.32031,25971.06055,25971.06055,1.35E+09
12/09/2018,25989.07031,26317.33984,25929.42969,26246.96094,26246.96094,1.25E+09
19/09/2018,26287.83984,26769.16016,26280.75977,26492.21094,26492.21094,1.66E+09
26/09/2018,26536.85938,26824.7793,26349.33984,26773.93945,26773.93945,1.25E+09
03/10/2018,26833.4707,26951.81055,26223.08984,26430.57031,26430.57031,1.39E+09
10/10/2018,26441.73047,26487.86914,24899.76953,25798.41992,25798.41992,1.95E+09
17/10/2018,25705.86914,25810.08984,24768.78906,25191.42969,25191.42969,1.73E+09
24/10/2018,25172.88086,25306.23047,24122.23047,24874.64063,24874.64063,2.36E+09
31/10/2018,25008.82031,25651.85938,25008.82031,25635.00977,25635.00977,1.86E+09
07/11/2018,25788.46094,26277.82031,25193.7793,25286.49023,25286.49023,1.67E+09
14/11/2018,25388.08008,25510.23047,24368.98047,24465.64063,24465.64063,1.94E+09
21/11/2018,24541.65039,24750.73047,24268.74023,24748.73047,24748.73047,1.06E+09
28/11/2018,24832.83984,25980.21094,24832.83984,25027.07031,25027.07031,1.96E+09
05/12/2018,24737.41992,25095.61914,23881.36914,24370.24023,24370.24023,1.60E+09
12/12/2018,24509.08984,24828.28906,23456.88086,23675.64063,23675.64063,1.94E+09
19/12/2018,23693.33008,24057.33984,21792.19922,21792.19922,21792.19922,2.29E+09
26/12/2018,21857.73047,23381.88086,21712.5293,23327.46094,23327.46094,1.47E+09
02/01/2019,23058.60938,23864.65039,22638.41016,23787.44922,23787.44922,1.79E+09
09/01/2019,23844.26953,24099.14063,23703.16016,24065.58984,24065.58984,1.49E+09
16/01/2019,24139.91016,24750.2207,24088.90039,24404.48047,24404.48047,1.30E+09
23/01/2019,24577.25,24860.15039,24307.16992,24579.96094,24579.96094,1.69E+09
30/01/2019,24826.51953,25427.32031,24790.90039,25411.51953,25411.51953,1.89E+09
06/02/2019,25371.57031,25458.98047,24883.03906,25425.75977,25425.75977,1.31E+09
13/02/2019,25480.85938,25961.43945,25308.08984,25891.32031,25891.32031,1.19E+09
20/02/2019,25872.25977,26241.41992,25762.21094,26057.98047,26057.98047,1.36E+09
27/02/2019,25995.59961,26155.98047,25611.55078,25806.63086,25806.63086,1.43E+09
06/03/2019,25818.75977,25837.60938,25208,25554.66016,25554.66016,1.44E+09
13/03/2019,25637.23047,26109.67969,25571.31055,25887.38086,25887.38086,1.90E+09
20/03/2019,25867.78906,26009.90039,25372.25977,25657.73047,25657.73047,1.65E+09
27/03/2019,25676.33984,26280.90039,25425.26953,26179.13086,26179.13086,1.35E+09
03/04/2019,26238.0293,26487.57031,26103.14063,26150.58008,26150.58008,1.21E+09
10/04/2019,26173.71094,26530.71094,26062.58984,26452.66016,26452.66016,1.34E+09
17/04/2019,26468.5293,26695.96094,26391.85938,26656.39063,26656.39063,1.24E+09
24/04/2019,26652.56055,26680.58008,26310.2793,26592.91016,26592.91016,1.52E+09
01/05/2019,26639.06055,26689.39063,25789.71094,25965.08984,25965.08984,1.46E+09
